U1,U2,X,B1,A1,B2,B3,B4,A2,A3,Y
0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,0,0,0,0,1,0,1
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,0,1,1,1,1,1,1,0,1,1
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,1
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,1,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,1,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,1
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,1,1,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,1,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,0,0,1,0,0,0,0,1,1
1,1,1,0,1,0,0,1,1,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,1
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,1,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,1,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,1,1,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,1,1,0,0,0,1,1,1
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,1,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,1
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,1,0,1
1,1,1,0,1,1,0,0,0,1,0
0,0,0,0,0,0,0,1,1,0,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,1,0,1,0,0,0,1,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,0,0,1
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,1,1,1,1,1,1,1
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,0,1,1,1,1,1,1,0,1,1
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,1,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,1,1,1,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,1,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,1
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,0,1,1,1,1,1,1,0,1,1
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,1
1,0,1,1,1,1,1,1,1,1,1
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,1,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,1
0,0,0,0,0,1,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,1,0,0,0,0,1,0,1
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,1
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,1,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,0,1,1,1,1,1,1,0,1,1
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,1
1,0,1,1,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,1,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,1,0,0,0,1,1,1
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,1,1,0,0,1,1,1
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,1
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,1,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,1,1,1,1,1,1,1
0,1,1,0,1,0,0,0,1,1,0
0,1,0,1,1,1,1,1,0,1,1
1,1,1,0,1,0,0,0,0,1,1
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,1,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,1,1,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,1,1,1
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,1
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,1,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,1,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,1,1,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,1,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,1,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,1
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,1,0,1,0,1,1,1,0,0,1
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,1
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,1
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,1,0,0,1,0
1,0,1,1,0,1,1,1,0,0,1
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,1
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,0,0,0,0,1,1
0,0,0,0,1,0,0,0,1,1,1
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,1
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,0,1,1,0,0,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,1,1,0,0,0,1,1,1
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0
1,1,1,1,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0
0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
